date,post_announcement,deposit_growth,interest_rate
2018-01-31,0,0.0059934283060224655,0.03148060138532288
2018-02-28,0,0.004723471397657631,0.03130527636089944
2018-03-31,0,0.006295377076201385,0.030025567283212304
2018-04-30,0,0.00804605971281605,0.028827064333124264
2018-05-31,0,0.004531693250553328,0.022923146289747925
2018-06-30,0,0.004531726086101639,0.027896773386173204
2018-07-31,0,0.008158425631014782,0.02828642741736615
2018-08-31,0,0.006534869458305817,0.025988613653891903
2018-09-30,0,0.004061051228130096,0.029193571441669952
2018-10-31,0,0.00608512008717193,0.032020254284072694
2018-11-30,0,0.004073164614375076,0.03943092950605265
2018-12-31,0,0.0040685404928594866,0.030872889064159192
2019-01-31,0,0.005483924543132068,0.03128775195361382
2019-02-28,0,0.0011734395106844041,0.029627770421169163
2019-03-31,0,0.0015501643349739346,0.02040614392350479
2019-04-30,0,0.0038754249415180546,0.029867430622753915
2019-05-31,0,0.0029743377593311523,0.03030115104970513
2019-06-30,0,0.005628494665190548,0.04231621056242643
2019-07-31,0,0.0031839518489575783,0.029038195176094385
2019-08-31,0,0.002175392597329417,0.03150773671166806
2019-09-30,0,0.007931297537843107,0.029826441151473784
2019-10-31,0,0.004548447399026928,0.02415660981190234
2019-11-30,0,0.005135056409375848,0.035714114072575104
2019-12-31,0,0.0021505036275730866,0.03375966516343387
2020-01-31,0,0.003911234550949634,0.033955159735215235
2020-02-29,0,0.005221845179419733,0.025453062726026304
2020-03-31,0,0.0026980128451553945,0.037013971554680496
2020-04-30,0,0.005751396036691344,0.022990744686038594
2020-05-31,0,0.0037987226201623902,0.03293428546900135
2020-06-30,0,0.004416612500413446,0.04095227812904989
2020-07-31,0,0.003796586775541206,0.025047318374346556
2020-08-31,0,0.008704556369017876,0.02716851135198614
2020-09-30,0,0.004973005550524132,0.030498256825438205
2020-10-31,0,0.0028845781420881993,0.027482621729419003
2020-11-30,0,0.006645089824206378,0.022246682844669335
2020-12-31,0,0.0025583127000579557,0.030342814874030136
2021-01-31,0,0.0054177271900095105,0.024688481431369473
2021-02-28,0,0.001080659752240449,0.03236796215317591
2021-03-31,0,0.002343627902203139,0.025402878828830983
2021-04-30,0,0.0053937224717382475,0.037749672025087694
2021-05-31,0,0.006476933159990821,0.026083733538318814
2021-06-30,0,0.005342736562379941,0.028389692418971622
2021-07-31,0,0.004768703435223519,0.034067586086848345
2021-08-31,0,0.004397792608821422,0.023845678417830224
2021-09-30,0,0.0020429560192651453,0.031137299673020646
2021-10-31,0,0.0035603115832105827,0.03653571377141214
2021-11-30,0,0.004078722458080425,0.021962583827193863
2021-12-31,0,0.007114244452437832,0.03092316929266152
2022-01-31,0,0.0056872365791369225,0.03129941397124212
2022-02-28,0,0.0014739196892745322,0.03390911435888655
2022-03-31,0,0.00564816793878959,0.02381524644560959
2022-04-30,0,0.004229835439167367,0.02339771693457862
2022-05-31,0,0.0036461559993880826,0.032609707828084485
2022-06-30,1,-0.0017766474223182647,0.03148492336616593
2022-07-31,1,-0.0009380009550080982,0.03125246425172938
2022-08-31,1,-0.0011374397617676026,0.03173224104748488
2022-09-30,1,-0.004678435046445277,0.026599876392107546
2022-10-31,1,-0.003618424751702429,0.031161268485805017
2022-11-30,1,-0.002337473137192872,0.0314653623664934
2022-12-31,1,-0.001048909745755282,0.02642824290986816
2023-01-31,1,-0.00395834847569058,0.03932887255572378
2023-02-28,1,-0.0033713179533276343,0.032369164604558937
2023-03-31,1,-0.0052126699480120565,0.024043482513986754
2023-04-30,1,-0.005392413248161342,0.033282768043169146
2023-05-31,1,-0.001374948355211604,0.02512659164886339
2023-06-30,1,-0.00028751994285835386,0.03393542301871226
2023-07-31,1,-0.003144020243160668,0.03579297789503702
2023-08-31,1,-0.0009929342042159523,0.025896588408241446
2023-09-30,1,-0.0022767279499047322,0.034816880646221605
2023-10-31,1,-0.004290239509210248,0.03206390463468249
2023-11-30,1,-0.0022772087889831724,0.034110300799972446
2023-12-31,1,7.607313293193918e-05,0.039483964913269734
2024-01-31,1,-0.003071652078219903,0.028773059419985647
2024-02-29,1,0.0001292873116280121,0.026231319178212552
2024-03-31,1,-0.00823949020817949,0.02555242785187238
2024-04-30,1,-0.0013561949912495527,0.025920948575172808
2024-05-31,1,-0.002825905863523657,0.02961449145292948
2024-06-30,1,-0.0035980147009317346,0.031705759874083216
2024-07-31,1,-0.0028164784469289954,0.031383453996650094
2024-08-31,1,-0.0069751378292017855,0.034135916245180115
2024-09-30,1,-0.0034393437756750243,0.030065009459389534
2024-10-31,1,-0.002285774856976507,0.037267670385786586
2024-11-30,1,-4.4211910516967975e-05,0.028676715833810217
2024-12-31,1,-0.004036540436547295,0.04360084583294809
2025-01-31,1,-0.004616987205786375,0.03312833673882503
2025-02-28,1,-0.004003514087169073,0.025714212217918586
2025-03-31,1,-0.0011691957645958515,0.024645537509694438
2025-04-30,1,-0.002342497780680631,0.03241236207621592
2025-05-31,1,-0.004059520407534078,0.028882686073370745
2025-06-30,1,-0.0019734651337732882,0.03357000247046046
2025-07-31,1,-0.0028058449013039196,0.03236618812286772
2025-08-31,1,-0.001062710018934222,0.029635855436715635
2025-09-30,1,-0.004404106187754705,0.025766031409657976
2025-10-31,1,-0.003655324293195536,0.022425763876570675
2025-11-30,1,-0.003784216306264315,0.027767425239664894
2025-12-31,1,-0.005927029896264237,0.03428199397161736
